# Index	SPI_SensorBufMag.DATA.MAG.i16XOut	SPI_SensorBufMag.DATA.MAG.i16YOut	SPI_SensorBufMag.DATA.MAG.i16ZOut
-------	---------------------------------	---------------------------------	---------------------------------
0	556	2613	1600
1	563	2665	1657
2	588	2674	1642
3	602	2732	1696
4	586	2751	1689
5	586	2751	1689
6	557	2752	1653
7	584	2795	1669
8	571	2798	1682
9	571	2798	1682
10	578	2762	1747
11	572	2824	1785
12	596	2853	1754
13	601	2842	1688
14	601	2842	1688
15	635	2780	1692
16	619	2838	1657
17	661	2891	1545
18	661	2891	1545
19	727	2915	1396
20	776	2916	1179
21	846	2897	956
22	845	2882	746
23	845	2882	746
24	874	2846	569
25	895	2833	430
26	920	2767	365
27	920	2767	365
28	884	2764	247
29	843	2684	182
30	819	2658	159
31	811	2638	60
32	811	2638	60
33	747	2518	77
34	705	2440	45
35	599	2341	-31
36	599	2341	-31
37	580	2295	-57
38	518	2214	-160
39	496	2156	-217
40	431	2102	-216
41	431	2102	-216
42	398	2064	-245
43	369	2051	-258
44	344	1990	-268
45	344	1990	-268
46	280	1913	-371
47	212	1876	-430
48	155	1830	-498
49	64	1779	-604
50	64	1779	-604
51	-27	1759	-641
52	-157	1731	-762
53	-264	1690	-825
54	-264	1690	-825
55	-331	1688	-936
56	-409	1695	-1029
57	-511	1721	-1111
58	-640	1736	-1236
59	-640	1736	-1236
60	-776	1714	-1289
61	-855	1705	-1315
62	-984	1739	-1362
63	-984	1739	-1362
64	-1068	1790	-1435
65	-1129	1825	-1422
66	-1167	1883	-1455
67	-1292	1916	-1478
68	-1292	1916	-1478
69	-1404	1959	-1535
70	-1540	2007	-1548
71	-1655	2052	-1592
72	-1655	2052	-1592
73	-1769	2071	-1630
74	-1881	2137	-1590
75	-1977	2207	-1654
76	-2087	2251	-1651
77	-2087	2251	-1651
78	-2175	2377	-1666
79	-2272	2438	-1693
80	-2385	2516	-1645
81	-2385	2516	-1645
82	-2497	2534	-1633
83	-2621	2557	-1535
84	-2727	2588	-1586
85	-2782	2576	-1457
86	-2782	2576	-1457
87	-2855	2658	-1461
88	-2945	2685	-1361
89	-3047	2745	-1361
90	-3047	2745	-1361
91	-3174	2894	-1368
92	-3281	2941	-1339
93	-3350	3031	-1364
94	-3413	3031	-1324
95	-3413	3031	-1324
96	-3525	3084	-1296
97	-3569	3155	-1249
98	-3658	3191	-1193
99	-3658	3191	-1193
100	-3685	3263	-1152
101	-3749	3311	-1173
102	-3804	3357	-1101
103	-3888	3430	-1084
104	-3888	3430	-1084
105	-3966	3492	-1050
106	-4025	3579	-1018
107	-4086	3676	-941
108	-4086	3676	-941
109	-4109	3729	-918
110	-4149	3714	-871
111	-4152	3751	-876
112	-4129	3754	-828
113	-4129	3754	-828
114	-4182	3729	-762
115	-4204	3739	-790
116	-4218	3765	-723
117	-4218	3765	-723
118	-4209	3840	-718
119	-4249	3869	-659
120	-4312	3964	-580
121	-4312	3964	-580
122	-4379	4029	-492
123	-4418	4128	-450
124	-4468	4222	-321
125	-4510	4322	-322
126	-4510	4322	-322
127	-4518	4388	-190
128	-4526	4489	-136
129	-4524	4590	-23
130	-4538	4689	28
131	-4538	4689	28
132	-4536	4739	160
133	-4515	4896	198
134	-4503	4969	271
135	-4503	4969	271
136	-4497	5008	274
137	-4472	5123	407
138	-4433	5168	437
139	-4422	5209	484
140	-4422	5209	484
141	-4355	5264	577
142	-4287	5310	650
143	-4260	5362	733
144	-4260	5362	733
145	-4196	5398	824
146	-4145	5477	836
147	-4082	5503	879
148	-4032	5535	972
149	-4032	5535	972
150	-3987	5569	1007
151	-3964	5590	1030
152	-3882	5612	1032
153	-3882	5612	1032
154	-3857	5614	1069
155	-3809	5671	1104
156	-3747	5713	1097
157	-3760	5681	1200
158	-3760	5681	1200
159	-3741	5650	1257
160	-3697	5618	1320
161	-3685	5598	1330
162	-3685	5598	1330
163	-3737	5581	1300
164	-3756	5611	1344
165	-3803	5550	1343
166	-3861	5512	1384
167	-3861	5512	1384
168	-3864	5599	1462
169	-3860	5556	1456
170	-3840	5578	1511
171	-3840	5578	1511
172	-3864	5569	1557
173	-3839	5550	1648
174	-3824	5576	1661
175	-3812	5543	1755
176	-3812	5543	1755
177	-3791	5552	1825
178	-3724	5577	1879
179	-3674	5608	1962
180	-3674	5608	1962
181	-3550	5675	2054
182	-3467	5712	2087
183	-3341	5790	2132
184	-3226	5864	2109
185	-3226	5864	2109
186	-3090	5925	2057
187	-2954	5995	1964
188	-2832	6076	1870
189	-2832	6076	1870
190	-2729	6163	1819
191	-2578	6215	1768
192	-2514	6287	1699
193	-2350	6318	1604
194	-2350	6318	1604
195	-2293	6381	1520
196	-2208	6408	1500
197	-2145	6442	1332
198	-2145	6442	1332
199	-2060	6477	1261
200	-2008	6447	1235
201	-1907	6494	1175
202	-1907	6494	1175
203	-1900	6463	1150
204	-1867	6479	1171
205	-1859	6499	1129
206	-1953	6526	1111
207	-1953	6526	1111
208	-2010	6521	1178
209	-2086	6546	1165
210	-2164	6585	1173
211	-2164	6585	1173
212	-2175	6590	1160
213	-2191	6603	1180
214	-2181	6622	1157
215	-2190	6621	1108
216	-2190	6621	1108
217	-2199	6625	1156
218	-2175	6627	1208
219	-2155	6618	1310
220	-2155	6618	1310
221	-2169	6599	1348
222	-2153	6548	1463
223	-2113	6502	1604
224	-2073	6450	1757
225	-2073	6450	1757
226	-1981	6400	1861
227	-1888	6311	2049
228	-1786	6215	2176
229	-1786	6215	2176
230	-1780	6164	2248
231	-1709	6025	2361
232	-1726	5983	2446
233	-1739	5907	2558
234	-1739	5907	2558
235	-1792	5822	2734
236	-1841	5691	2864
237	-1916	5589	2985
238	-1916	5589	2985
239	-1956	5494	3092
240	-1966	5371	3181
241	-1959	5268	3271
242	-1947	5176	3335
243	-1947	5176	3335
244	-1999	5048	3366
245	-2009	4923	3482
246	-2075	4795	3565
247	-2075	4795	3565
248	-2144	4560	3614
249	-2228	4346	3746
250	-2342	4061	3817
251	-2448	3786	3796
252	-2448	3786	3796
253	-2558	3467	3852
254	-2723	3147	3818
255	-2909	2801	3730
256	-2909	2801	3730
257	-3117	2464	3555
258	-3252	2201	3389
259	-3370	1950	3213
260	-3416	1792	3077
261	-3416	1792	3077
262	-3431	1658	2959
263	-3420	1520	2848
264	-3396	1425	2740
265	-3396	1425	2740
266	-3413	1324	2621
267	-3366	1207	2511
268	-3378	1119	2419
269	-3352	1006	2300
270	-3352	1006	2300
271	-3378	964	2227
272	-3344	926	2140
273	-3361	814	1998
274	-3361	814	1998
275	-3335	716	1843
276	-3272	634	1650
277	-3222	537	1351
278	-3246	485	1084
279	-3246	485	1084
280	-3223	515	889
281	-3298	498	689
282	-3305	502	647
283	-3305	502	647
284	-3347	514	439
285	-3342	565	283
286	-3337	549	124
287	-3324	575	-31
288	-3324	575	-31
289	-3364	682	-309
290	-3463	758	-520
291	-3563	944	-762
292	-3563	944	-762
293	-3679	1126	-976
294	-3739	1312	-1197
295	-3796	1554	-1378
296	-3838	1745	-1525
297	-3838	1745	-1525
298	-3863	1928	-1594
299	-3861	2087	-1636
300	-3898	2115	-1627
301	-3898	2115	-1627
302	-3933	2189	-1630
303	-3908	2247	-1700
304	-3910	2304	-1758
305	-3845	2406	-1757
306	-3845	2406	-1757
307	-3869	2474	-1837
308	-3888	2539	-1824
309	-3940	2671	-1814
310	-3940	2671	-1814
311	-4008	2757	-1809
312	-4102	2850	-1737
313	-4214	2979	-1665
314	-4326	3090	-1641
315	-4326	3090	-1641
316	-4396	3277	-1620
317	-4392	3479	-1549
318	-4396	3704	-1543
319	-4396	3704	-1543
320	-4389	3892	-1535
321	-4409	4039	-1460
322	-4420	4205	-1368
323	-4447	4386	-1258
324	-4447	4386	-1258
325	-4442	4557	-1148
326	-4476	4712	-954
327	-4505	4818	-876
328	-4505	4818	-876
329	-4453	4899	-750
330	-4454	4960	-607
331	-4504	5063	-466
332	-4494	5094	-282
333	-4494	5094	-282
334	-4420	5171	-172
335	-4381	5255	-138
336	-4324	5319	-67
337	-4324	5319	-67
338	-4254	5391	6
339	-4227	5442	97
340	-4166	5458	111
341	-4138	5449	194
342	-4138	5449	194
343	-4127	5488	277
344	-4101	5551	323
345	-4046	5566	321
346	-4046	5566	321
347	-4015	5640	333
348	-3963	5651	340
349	-3930	5689	363
350	-3838	5754	419
351	-3838	5754	419
352	-3849	5803	491
353	-3773	5821	548
354	-3703	5810	644
355	-3703	5810	644
356	-3668	5821	697
357	-3649	5832	747
358	-3589	5823	867
359	-3621	5788	959
360	-3621	5788	959
361	-3575	5799	997
362	-3509	5822	1105
363	-3435	5802	1163
364	-3435	5802	1163
365	-3375	5838	1279
366	-3311	5814	1341
367	-3269	5799	1456
368	-3181	5796	1532
369	-3181	5796	1532
370	-3108	5823	1637
371	-3012	5813	1731
372	-2969	5797	1738
373	-2969	5797	1738
374	-2922	5815	1784
375	-2916	5766	1849
376	-2864	5754	1877
377	-2855	5758	1948
378	-2855	5758	1948
379	-2774	5736	1982
380	-2717	5735	2023
381	-2672	5702	2017
382	-2672	5702	2017
383	-2606	5680	2039
384	-2524	5670	2027
385	-2439	5672	2055
386	-2315	5635	2032
387	-2315	5635	2032
388	-2247	5670	2097
389	-2114	5646	2073
390	-1960	5652	2069
391	-1960	5652	2069
392	-1817	5683	1988
393	-1657	5681	1893
394	-1472	5735	1762
395	-1352	5739	1636
396	-1352	5739	1636
397	-1253	5720	1554
398	-1143	5722	1497
399	-1024	5692	1391
400	-1024	5692	1391
401	-909	5660	1265
402	-751	5619	1152
403	-583	5537	1063
404	-382	5412	943
405	-382	5412	943
406	-191	5279	784
407	-22	5155	639
408	112	4984	495
409	112	4984	495
410	202	4860	381
411	293	4709	327
412	352	4593	162
413	440	4520	120
414	440	4520	120
415	505	4348	10
416	567	4189	-36
417	608	3995	-81
418	608	3995	-81
419	682	3813	-154
420	735	3604	-167
421	782	3433	-142
422	776	3303	-226
423	776	3303	-226
424	764	3151	-212
425	747	3048	-314
426	755	2974	-356
427	755	2974	-356
428	731	2843	-409
429	739	2785	-442
430	686	2676	-495
431	641	2537	-530
432	641	2537	-530
433	583	2386	-582
434	536	2247	-665
435	474	2122	-634
436	474	2122	-634
437	409	1975	-697
438	325	1895	-710
439	290	1855	-737
440	274	1799	-753
441	274	1799	-753
442	246	1733	-711
443	195	1628	-660
444	177	1538	-611
